Hotel_Id,Hotel,City,Link,Rating,Hotel_Type,Location,Cost_for_2
1118,Bocs Pizza,Ramanathapuram,https://www.swiggy.com/restaurants/bocs-pizza-ramanathapuram-keelakarai-coimbatore-330091,4.1,"Opens next at 11:01 am, tomorrowPizzas, Italian","Ramanathapuram, Keelakarai",300
1119,Boomerang,Ramanathapuram,https://www.swiggy.com/restaurants/boomerang-nanjundapuram-road-keelakarai-coimbatore-55644,--,"Restaurant ClosedIce Cream, Desserts","Nanjundapuram Road, Keelakarai",200
1120,The Table,Ramanathapuram,https://www.swiggy.com/restaurants/the-table-inside-bocs-pizza-keelakarai-coimbatore-142336,--,"Opens next at 12:30 pm, tomorrowDesserts","Inside Bocs Pizza, Keelakarai",400
1121,Subway,Ramanathapuram,https://www.swiggy.com/restaurants/subway-nanjundapuram-road-keelakarai-coimbatore-52013,4.4,"Fast Food, Healthy Food","Nanjundapuram Road, Keelakarai",350
1122,Hotel Junior Kuppanna,Ramanathapuram,https://www.swiggy.com/restaurants/hotel-junior-kuppanna-trichy-road-opp-stock-exchange-kothari-layout-coimbatore-52376,4.1,"Indian, Chinese","Trichy Road, Opp. Stock Exchange, Kothari Layout",500
1123,The Donuts,Ramanathapuram,https://www.swiggy.com/restaurants/the-donuts-trichy-road-puliakulam-coimbatore-51203,4.5,"Desserts, Bakery","Trichy Road, Puliakulam",200
1124,Hotel Sri Surya,Ramanathapuram,https://www.swiggy.com/restaurants/hotel-sri-surya-trichy-road-ramanathapuram-signal-coimbatore-52379,4.3,"South Indian, Indian","Trichy Road, Ramanathapuram, Signal",200
1125,HOTEL IMAYAM ,Ramanathapuram,https://www.swiggy.com/restaurants/hotel-imayam-ramanathapuram-ondi-pudur-coimbatore-309933,--,Indian,"Ramanathapuram, Ondi Pudur",250
1126,Hotel Annavaasal,Ramanathapuram,https://www.swiggy.com/restaurants/hotel-annavaasal-ondipudur-ondi-pudur-coimbatore-69760,4.1,South Indian,"Ondipudur, Ondi Pudur",200
1127,Payindi Briyani and Tiffins,Ramanathapuram,https://www.swiggy.com/restaurants/payindi-briyani-and-tiffins-peelamedu-ramanathapuram-coimbatore-403827,--,"Opens next at 10:30 am, MondaySouth Indian","Peelamedu, Ramanathapuram",100
1128,Annam Foods,Ramanathapuram,https://www.swiggy.com/restaurants/annam-foods-ramanathapuram-kallimadai-coimbatore-96339,--,"Opens next at 7:30 am, tomorrowKerala","Ramanathapuram, Kallimadai",200
1129,Madurai Lunch Home,Ramanathapuram,https://www.swiggy.com/restaurants/madurai-lunch-home-avinashi-road-t-nagar-coimbatore-68048,3.2,"Opens next at 10:30 am, MondaySouth Indian","Avinashi Road, T Nagar",200
